"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"AHCYL2",363.773039355997,0.00725279250887074,0.048269345927423,0.449700275626617,0.951544081872138
"AHDC1",87.9712423892376,0.008650433533662,0.0492336213660653,0.163892404153894,0.859063687639948
"AHI1",846.556546667077,0.00119307675604345,0.0472713572703459,0.912029018254546,0.989479911599757
"AHNAK",17.9932445403987,0.00396589722129651,0.0484988841428967,0.382111633693758,0.919294883402921
"AHRR",84.3650351213304,0.00432727761544367,0.0483986348640472,0.472060671429737,0.954127310096433
"AIG1",327.362945281185,-0.00532010642350354,0.0477805171007863,0.596892078014784,0.966100407882324
"AJAP1",113.546437036175,-0.00121492296768013,0.0481178439102281,0.837110148879767,0.985858007379432
"AK3",31.0576101846933,-0.014334198985441,0.0513994480700582,0.00924968589025308,0.503469971647051
"AK4",66.4829362480892,0.00159828137003942,0.0480812087848342,0.806949974816235,0.98373531975555
"AK5",736.357084555023,0.00330133089821469,0.0474985110269378,0.738028278107753,0.98199427166359
"AK7",16.1727421003367,-0.00137890090966588,0.0482746997229005,0.771924549566866,0.98199427166359
"AKAP10",112.427793948314,-0.0117174185924419,0.0498821841769512,0.151006703876952,0.85186803032167
"AKAP11",31.6115502516955,0.0104290272865085,0.0499367424767092,0.027999974054,0.650412843622104
"AKAP12",78.3767025515923,-0.0139229929044927,0.0512497416557248,0.00803336857414622,0.501858464079991
"AKAP13",90.6846031669567,-0.00591365437625338,0.0483092194765078,0.463357168608944,0.953926436452539
"AKAP2",41.2699751315923,0.0120089706879363,0.0499664471747453,0.144689217447159,0.850316710077082
"AKAP6",1012.9233534502,0.000805170040607114,0.0465212013889871,0.988366582060513,0.997922155044913
"AKAP7",53.4644615321901,-0.00659413706248316,0.0488551879409852,0.214669171099323,0.879993757807423
"AKAP8L",109.028902458718,-0.00672373620758722,0.0488188907560199,0.246958156800695,0.886424556020717
"AKAP9",116.633282426147,-0.000788839830585499,0.0479934783284016,0.907173286155895,0.989479911599757
"AKD1",125.096608375534,-0.0170651062091759,0.0521922794582168,0.0512836119132318,0.706997217511235
"AKIRIN2",81.076897218348,-0.00710612097986087,0.0489927981125569,0.161726740541584,0.859063687639948
"AKT2",27.1600624690152,-0.00171076527934699,0.0481390525092778,0.777206802709647,0.98199427166359
"AKT3",1172.29282597269,0.00384911198256955,0.0469060187638783,0.778315865822178,0.98199427166359
"ALAD",199.038306264319,-1.7936516597419,0.417548814902228,0.718431421470347,0.980056717801299
